cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,11
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,1
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,5
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,0
FP200000542BR_A5_19447,5
FP200000542BR_A5_19454,0
FP200000542BR_A5_19482,0
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,0
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,1
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,2
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,0
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,3
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,3
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,3
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,4
FP200000542BR_A5_22732,1
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,0
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,6
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,2
FP200000542BR_A5_23313,4
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,4
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,3
FP200000542BR_A5_23846,8
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,7
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,1
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,6
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,5
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,4
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,5
FP200000542BR_A5_24938,3
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,6
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,2
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,2
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,6
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,4
FP200000542BR_A5_25528,1
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,6
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,10
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,2
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,4
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,4
FP200000542BR_A5_26302,2
FP200000542BR_A5_26344,5
FP200000542BR_A5_26369,4
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,5
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,8
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,3
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,2
FP200000542BR_A5_26830,4
FP200000542BR_A5_26843,6
FP200000542BR_A5_26896,1
FP200000542BR_A5_26974,3
FP200000542BR_A5_27002,3
FP200000542BR_A5_27053,8
FP200000542BR_A5_27095,6
FP200000542BR_A5_27197,0
FP200000542BR_A5_27220,0
FP200000542BR_A5_27348,2
FP200000542BR_A5_27349,2
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,1
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,5
FP200000542BR_A5_27619,2
FP200000542BR_A5_27620,6
FP200000542BR_A5_27697,1
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,3
FP200000542BR_A5_27980,0
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,2
FP200000542BR_A5_28167,2
FP200000542BR_A5_28170,2
FP200000542BR_A5_28323,2
FP200000542BR_A5_28333,5
FP200000542BR_A5_28344,1
FP200000542BR_A5_28378,2
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,4
FP200000542BR_A5_28626,8
FP200000542BR_A5_28632,5
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,6
FP200000542BR_A5_28814,1
FP200000542BR_A5_28824,2
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,4
FP200000542BR_A5_28885,6
FP200000542BR_A5_28917,3
FP200000542BR_A5_29048,1
FP200000542BR_A5_29065,2
FP200000542BR_A5_29084,4
FP200000542BR_A5_29089,4
FP200000542BR_A5_29142,1
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,0
FP200000542BR_A5_29361,3
FP200000542BR_A5_29377,3
FP200000542BR_A5_29404,3
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,1
FP200000542BR_A5_29446,2
FP200000542BR_A5_29455,2
FP200000542BR_A5_29464,4
FP200000542BR_A5_29496,3
FP200000542BR_A5_29518,8
FP200000542BR_A5_29577,1
FP200000542BR_A5_29606,0
FP200000542BR_A5_29615,2
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,2
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,2
FP200000542BR_A5_29800,9
FP200000542BR_A5_29878,8
FP200000542BR_A5_29884,0
FP200000542BR_A5_29889,0
FP200000542BR_A5_29890,0
FP200000542BR_A5_29895,1
FP200000542BR_A5_29907,0
FP200000542BR_A5_30038,0
FP200000542BR_A5_30065,1
FP200000542BR_A5_30089,1
FP200000542BR_A5_30095,4
FP200000542BR_A5_30116,1
FP200000542BR_A5_30128,2
FP200000542BR_A5_30191,1
FP200000542BR_A5_30215,5
FP200000542BR_A5_30216,1
FP200000542BR_A5_30225,3
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,2
FP200000542BR_A5_30341,2
FP200000542BR_A5_30445,3
FP200000542BR_A5_30491,2
FP200000542BR_A5_30492,0
FP200000542BR_A5_30573,4
FP200000542BR_A5_30590,1
FP200000542BR_A5_30599,0
FP200000542BR_A5_30633,3
FP200000542BR_A5_30660,6
FP200000542BR_A5_30684,7
FP200000542BR_A5_30776,2
FP200000542BR_A5_30803,3
FP200000542BR_A5_30860,4
FP200000542BR_A5_30901,2
FP200000542BR_A5_31028,2
FP200000542BR_A5_31220,4
FP200000542BR_A5_31262,5
FP200000542BR_A5_31281,2
FP200000542BR_A5_31464,2
FP200000542BR_A5_31497,2
FP200000542BR_A5_31667,4
FP200000542BR_A5_31719,0
FP200000542BR_A5_31875,0
FP200000542BR_A5_32068,5
FP200000542BR_A5_32257,1
FP200000542BR_A5_32294,2
FP200000542BR_A5_32737,2
FP200000542BR_A5_32817,5
FP200000542BR_A5_32863,0
FP200000542BR_A5_32963,1
FP200000542BR_A5_33131,0
FP200000542BR_A5_33208,1
FP200000542BR_A5_33373,0
FP200000542BR_A5_33594,4
FP200000542BR_A5_34097,1
FP200000542BR_A5_34203,6
FP200000542BR_A5_34480,0
FP200000542BR_A5_34976,7
FP200000542BR_A5_35253,0
FP200000542BR_A5_35361,0
FP200000542BR_A5_35496,0
FP200000542BR_A5_35822,6
FP200000542BR_A3_14894,0
FP200000542BR_A3_14924,2
FP200000542BR_A3_14998,1
FP200000542BR_A3_15163,0
FP200000542BR_A3_15371,1
FP200000542BR_A3_16209,0
FP200000542BR_A3_17188,0
FP200000542BR_A3_17213,1
FP200000542BR_A3_17240,0
FP200000542BR_A3_17260,0
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,1
FP200000542BR_A3_17652,4
FP200000542BR_A3_17794,0
FP200000542BR_A3_17882,1
FP200000542BR_A3_17941,0
FP200000542BR_A3_17956,5
FP200000542BR_A3_17964,3
FP200000542BR_A3_17992,1
FP200000542BR_A3_18104,3
FP200000542BR_A3_18412,5
FP200000542BR_A3_18606,1
FP200000542BR_A3_18648,4
FP200000542BR_A3_18775,1
FP200000542BR_A3_19330,0
FP200000542BR_A3_19468,2
FP200000542BR_A3_19501,0
FP200000542BR_A3_19586,0
FP200000542BR_A3_19625,0
FP200000542BR_A3_19713,0
FP200000542BR_A3_19738,2
FP200000542BR_A3_19788,1
FP200000542BR_A3_19808,3
FP200000542BR_A3_19819,0
FP200000542BR_A3_19935,0
FP200000542BR_A3_20022,1
FP200000542BR_A3_20039,0
FP200000542BR_A3_20107,0
FP200000542BR_A3_20126,0
FP200000542BR_A3_20127,0
FP200000542BR_A3_20179,2
FP200000542BR_A3_20330,0
FP200000542BR_A3_20399,0
FP200000542BR_A3_20445,0
FP200000542BR_A3_20449,2
FP200000542BR_A3_20530,0
FP200000542BR_A3_20651,2
FP200000542BR_A3_20652,0
FP200000542BR_A3_20661,1
FP200000542BR_A3_20717,5
FP200000542BR_A3_20741,0
FP200000542BR_A3_20752,0
FP200000542BR_A3_20836,0
FP200000542BR_A3_20846,0
FP200000542BR_A3_20899,0
FP200000542BR_A3_21003,0
FP200000542BR_A3_21057,1
FP200000542BR_A3_21073,3
FP200000542BR_A3_21109,0
FP200000542BR_A3_21287,0
FP200000542BR_A3_21307,0
FP200000542BR_A3_21321,1
FP200000542BR_A3_21376,2
FP200000542BR_A3_21379,0
FP200000542BR_A3_21392,4
FP200000542BR_A3_21430,0
FP200000542BR_A3_21447,2
FP200000542BR_A3_21727,0
FP200000542BR_A3_21760,2
FP200000542BR_A3_21812,0
FP200000542BR_A3_21836,0
FP200000542BR_A3_21879,3
FP200000542BR_A3_21906,1
FP200000542BR_A3_21931,1
FP200000542BR_A3_21949,0
FP200000542BR_A3_22049,1
FP200000542BR_A3_22056,1
FP200000542BR_A3_22237,3
FP200000542BR_A3_22245,4
FP200000542BR_A3_22268,0
FP200000542BR_A3_22273,0
FP200000542BR_A3_22378,1
FP200000542BR_A3_22429,1
FP200000542BR_A3_22434,0
FP200000542BR_A3_22478,0
