cell_id,count
FP200000542BR_A5_14055,5
FP200000542BR_A5_14616,12
FP200000542BR_A5_14863,5
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,14
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,10
FP200000542BR_A5_16049,10
FP200000542BR_A5_16105,9
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,6
FP200000542BR_A5_17549,8
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,5
FP200000542BR_A5_17860,13
FP200000542BR_A5_17897,5
FP200000542BR_A5_17943,14
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,11
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,9
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,6
FP200000542BR_A5_18381,11
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,10
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,4
FP200000542BR_A5_19111,4
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,7
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,10
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,6
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,15
FP200000542BR_A5_19684,5
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,5
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,11
FP200000542BR_A5_20248,9
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,7
FP200000542BR_A5_20284,10
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,3
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,14
FP200000542BR_A5_20676,15
FP200000542BR_A5_20717,6
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,22
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,4
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,11
FP200000542BR_A5_21219,16
FP200000542BR_A5_21235,9
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,14
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,4
