cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,7
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,4
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,1
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,0
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,4
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,1
FP200000542BR_A5_19447,1
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,3
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,1
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,1
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,2
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,3
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,3
FP200000542BR_A5_20846,0
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,0
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,3
FP200000542BR_A5_21155,1
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,1
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,4
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,1
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,2
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,0
FP200000542BR_A5_22753,5
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,2
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,4
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,0
FP200000542BR_A5_24605,1
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,0
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,0
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,1
