cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,6
FP200000542BR_A5_16105,3
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,4
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,1
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,8
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,9
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,4
FP200000542BR_A5_19167,6
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,12
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,8
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,1
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,6
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,4
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,11
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,4
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,4
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,8
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,4
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,7
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,6
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,10
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,11
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,3
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,9
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,6
FP200000542BR_A5_24367,3
FP200000542BR_A5_24370,5
FP200000542BR_A5_24462,3
FP200000542BR_A5_24474,2
FP200000542BR_A5_24500,5
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,4
FP200000542BR_A5_24567,2
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,6
FP200000542BR_A5_24744,8
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,1
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,3
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,8
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,5
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,12
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,2
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,3
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,0
FP200000542BR_A5_26180,0
