cell_id,count
FP200000542BR_A5_14055,10
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,8
FP200000542BR_A5_14894,9
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,10
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,5
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,4
FP200000542BR_A5_17549,11
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,6
FP200000542BR_A5_17943,12
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,7
FP200000542BR_A5_18221,10
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,3
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,5
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,11
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,5
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,13
FP200000542BR_A5_19167,6
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,12
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,11
FP200000542BR_A5_19544,1
FP200000542BR_A5_19545,13
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,11
FP200000542BR_A5_19684,10
FP200000542BR_A5_19793,3
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,2
FP200000542BR_A5_20219,10
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,4
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,3
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,8
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,8
FP200000542BR_A5_20676,16
FP200000542BR_A5_20717,11
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,14
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,12
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,4
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,4
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,3
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,6
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,9
FP200000542BR_A5_22262,2
FP200000542BR_A5_22293,12
FP200000542BR_A5_22339,3
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,4
