cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,3
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,0
FP200000542BR_A5_16280,0
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,3
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,10
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,1
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,4
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,3
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,0
FP200000542BR_A5_18789,1
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,0
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,4
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,5
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,11
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,4
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,6
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,7
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,8
FP200000542BR_A5_20487,7
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,1
FP200000542BR_A5_20546,7
FP200000542BR_A5_20571,5
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,9
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,4
FP200000542BR_A5_20846,5
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,9
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,6
FP200000542BR_A5_21203,3
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,4
FP200000542BR_A5_21235,3
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,9
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,11
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,9
FP200000542BR_A5_21964,10
FP200000542BR_A5_21994,6
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,20
FP200000542BR_A5_22339,9
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,1
