cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,0
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,4
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,0
FP200000542BR_A5_16049,1
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,6
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,0
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,10
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,0
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,5
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,8
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,9
FP200000542BR_A5_19447,5
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,2
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,8
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,5
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,1
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,7
FP200000542BR_A5_20676,3
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,3
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,0
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,5
FP200000542BR_A5_21093,5
FP200000542BR_A5_21122,1
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,1
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,2
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,2
FP200000542BR_A5_21847,0
FP200000542BR_A5_21886,2
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,0
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,0
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,1
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,3
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,0
FP200000542BR_A5_23251,0
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,8
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,0
FP200000542BR_A5_23846,0
FP200000542BR_A5_23850,1
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,1
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,0
FP200000542BR_A5_24474,1
FP200000542BR_A5_24500,0
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,0
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,1
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,0
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,0
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,0
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,1
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,0
FP200000542BR_A5_25554,0
