cell_id,count
FP200000542BR_A5_14055,2
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,6
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,10
FP200000542BR_A5_16105,5
FP200000542BR_A5_16280,1
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,3
FP200000542BR_A5_17860,1
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,0
FP200000542BR_A5_18247,4
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,3
FP200000542BR_A5_18692,8
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,1
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,6
FP200000542BR_A5_19447,5
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,1
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,7
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,10
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,2
FP200000542BR_A5_20258,2
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,4
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,2
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,7
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,0
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,4
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,6
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,5
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,2
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,1
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,4
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,6
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,0
FP200000542BR_A5_21841,8
FP200000542BR_A5_21847,1
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,4
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,4
FP200000542BR_A5_22339,9
FP200000542BR_A5_22408,10
FP200000542BR_A5_22447,12
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,4
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,5
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,3
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,3
FP200000542BR_A5_23711,3
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,5
FP200000542BR_A5_23850,3
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,3
FP200000542BR_A5_24367,1
FP200000542BR_A5_24370,10
FP200000542BR_A5_24462,6
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,4
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,2
