cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,3
FP200000542BR_A5_14863,4
FP200000542BR_A5_14894,5
FP200000542BR_A5_15005,9
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,2
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,7
FP200000542BR_A5_16280,5
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,15
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,12
FP200000542BR_A5_17860,12
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,20
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,10
FP200000542BR_A5_18134,9
FP200000542BR_A5_18221,5
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,9
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,14
FP200000542BR_A5_18692,8
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,7
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,18
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,2
FP200000542BR_A5_19120,4
FP200000542BR_A5_19150,12
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,12
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,11
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,9
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,6
FP200000542BR_A5_19545,22
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,15
FP200000542BR_A5_19684,4
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,9
FP200000542BR_A5_19917,5
FP200000542BR_A5_19983,13
FP200000542BR_A5_20096,8
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,6
FP200000542BR_A5_20248,4
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,3
FP200000542BR_A5_20341,12
FP200000542BR_A5_20366,3
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,12
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,5
FP200000542BR_A5_20541,9
FP200000542BR_A5_20546,8
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,5
FP200000542BR_A5_20676,23
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,3
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,14
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,6
FP200000542BR_A5_20880,5
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,6
FP200000542BR_A5_21093,3
FP200000542BR_A5_21122,6
FP200000542BR_A5_21155,14
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,10
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,18
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,6
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,9
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,3
FP200000542BR_A5_21886,8
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,4
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,7
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,3
FP200000542BR_A5_22575,4
FP200000542BR_A5_22732,8
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,4
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,8
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,9
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,9
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,2
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,11
