cell_id,count
FP200000542BR_A5_14055,10
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,6
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,2
FP200000542BR_A5_16280,8
FP200000542BR_A5_16676,5
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,1
FP200000542BR_A5_17657,9
FP200000542BR_A5_17860,5
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,3
FP200000542BR_A5_18060,3
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,2
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,10
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,5
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,2
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,0
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,12
FP200000542BR_A5_19454,3
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,14
FP200000542BR_A5_19684,7
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,12
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,5
FP200000542BR_A5_20284,6
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,0
FP200000542BR_A5_20341,6
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,5
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,2
