cell_id,count
FP200000542BR_A5_14055,9
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,2
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,7
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,22
FP200000542BR_A5_16280,12
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,9
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,9
FP200000542BR_A5_17611,4
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,12
FP200000542BR_A5_17897,4
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,2
FP200000542BR_A5_18060,7
FP200000542BR_A5_18134,2
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,6
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,9
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,3
FP200000542BR_A5_18639,2
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,11
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,8
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,9
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,8
FP200000542BR_A5_19120,6
FP200000542BR_A5_19150,15
FP200000542BR_A5_19167,13
FP200000542BR_A5_19332,20
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,14
FP200000542BR_A5_19447,24
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,10
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,17
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,8
FP200000542BR_A5_19684,1
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,8
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,7
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,13
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,6
FP200000542BR_A5_20258,8
FP200000542BR_A5_20284,12
FP200000542BR_A5_20299,5
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,17
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,15
FP200000542BR_A5_20546,18
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,5
FP200000542BR_A5_20673,7
FP200000542BR_A5_20676,13
FP200000542BR_A5_20717,4
FP200000542BR_A5_20735,6
FP200000542BR_A5_20754,13
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,18
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,12
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,4
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,6
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,5
FP200000542BR_A5_21421,15
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,9
FP200000542BR_A5_21792,15
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,8
FP200000542BR_A5_21886,8
FP200000542BR_A5_21964,11
FP200000542BR_A5_21994,11
FP200000542BR_A5_22116,5
FP200000542BR_A5_22150,3
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,15
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,14
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,14
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,15
FP200000542BR_A5_22753,4
FP200000542BR_A5_22931,7
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,13
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,11
FP200000542BR_A5_23313,10
FP200000542BR_A5_23382,14
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,10
FP200000542BR_A5_23846,14
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,3
FP200000542BR_A5_24347,20
FP200000542BR_A5_24367,7
FP200000542BR_A5_24370,10
FP200000542BR_A5_24462,16
FP200000542BR_A5_24474,7
FP200000542BR_A5_24500,11
FP200000542BR_A5_24547,5
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,12
FP200000542BR_A5_24567,1
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,8
FP200000542BR_A5_24605,5
FP200000542BR_A5_24744,1
FP200000542BR_A5_24757,1
FP200000542BR_A5_24818,8
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,2
FP200000542BR_A5_24889,5
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,0
FP200000542BR_A5_24938,7
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,1
FP200000542BR_A5_25021,4
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,1
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,4
FP200000542BR_A5_25261,2
FP200000542BR_A5_25278,7
FP200000542BR_A5_25295,7
FP200000542BR_A5_25301,2
FP200000542BR_A5_25450,5
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,2
FP200000542BR_A5_25523,4
FP200000542BR_A5_25528,10
FP200000542BR_A5_25554,5
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,2
FP200000542BR_A5_25668,10
FP200000542BR_A5_25714,7
FP200000542BR_A5_25802,4
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,2
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,2
FP200000542BR_A5_26133,3
FP200000542BR_A5_26165,3
FP200000542BR_A5_26180,6
FP200000542BR_A5_26284,6
FP200000542BR_A5_26302,5
FP200000542BR_A5_26344,6
FP200000542BR_A5_26369,4
FP200000542BR_A5_26419,1
FP200000542BR_A5_26472,10
FP200000542BR_A5_26483,12
FP200000542BR_A5_26541,4
FP200000542BR_A5_26566,14
FP200000542BR_A5_26576,3
FP200000542BR_A5_26579,2
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,3
FP200000542BR_A5_26830,8
FP200000542BR_A5_26843,5
FP200000542BR_A5_26896,5
FP200000542BR_A5_26974,15
FP200000542BR_A5_27002,4
FP200000542BR_A5_27053,18
FP200000542BR_A5_27095,2
FP200000542BR_A5_27197,3
FP200000542BR_A5_27220,7
FP200000542BR_A5_27348,1
FP200000542BR_A5_27349,15
FP200000542BR_A5_27364,6
FP200000542BR_A5_27377,4
FP200000542BR_A5_27383,3
FP200000542BR_A5_27426,12
FP200000542BR_A5_27619,9
FP200000542BR_A5_27620,14
FP200000542BR_A5_27697,12
FP200000542BR_A5_27863,4
FP200000542BR_A5_27876,5
FP200000542BR_A5_27980,10
FP200000542BR_A5_27987,0
FP200000542BR_A5_28079,0
FP200000542BR_A5_28158,24
FP200000542BR_A5_28167,16
FP200000542BR_A5_28170,0
FP200000542BR_A5_28323,14
FP200000542BR_A5_28333,6
FP200000542BR_A5_28344,8
FP200000542BR_A5_28378,17
FP200000542BR_A5_28468,21
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,8
FP200000542BR_A5_28626,23
FP200000542BR_A5_28632,4
FP200000542BR_A5_28657,10
FP200000542BR_A5_28790,7
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,11
FP200000542BR_A5_28839,2
FP200000542BR_A5_28846,12
FP200000542BR_A5_28885,13
FP200000542BR_A5_28917,2
FP200000542BR_A5_29048,15
FP200000542BR_A5_29065,14
FP200000542BR_A5_29084,6
FP200000542BR_A5_29089,15
FP200000542BR_A5_29142,7
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,9
FP200000542BR_A5_29299,13
FP200000542BR_A5_29356,1
FP200000542BR_A5_29361,5
FP200000542BR_A5_29377,8
FP200000542BR_A5_29404,19
FP200000542BR_A5_29418,6
FP200000542BR_A5_29426,5
FP200000542BR_A5_29446,3
FP200000542BR_A5_29455,5
FP200000542BR_A5_29464,5
FP200000542BR_A5_29496,21
FP200000542BR_A5_29518,10
FP200000542BR_A5_29577,10
FP200000542BR_A5_29606,6
FP200000542BR_A5_29615,7
FP200000542BR_A5_29623,0
FP200000542BR_A5_29627,4
FP200000542BR_A5_29683,0
FP200000542BR_A5_29712,2
FP200000542BR_A5_29800,6
FP200000542BR_A5_29878,17
FP200000542BR_A5_29884,4
FP200000542BR_A5_29889,6
FP200000542BR_A5_29890,5
FP200000542BR_A5_29895,9
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,4
FP200000542BR_A5_30065,8
FP200000542BR_A5_30089,9
FP200000542BR_A5_30095,4
FP200000542BR_A5_30116,10
FP200000542BR_A5_30128,2
FP200000542BR_A5_30191,5
FP200000542BR_A5_30215,14
FP200000542BR_A5_30216,5
FP200000542BR_A5_30225,12
FP200000542BR_A5_30227,1
FP200000542BR_A5_30267,4
FP200000542BR_A5_30341,1
FP200000542BR_A5_30445,7
