cell_id,count
FP200000542BR_A5_14055,9
FP200000542BR_A5_14616,8
FP200000542BR_A5_14863,10
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,17
FP200000542BR_A5_15006,13
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,20
FP200000542BR_A5_16105,8
FP200000542BR_A5_16280,9
FP200000542BR_A5_16676,7
FP200000542BR_A5_16700,5
FP200000542BR_A5_16929,8
FP200000542BR_A5_17549,12
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,6
FP200000542BR_A5_17860,16
FP200000542BR_A5_17897,11
FP200000542BR_A5_17943,9
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,9
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,14
FP200000542BR_A5_18229,7
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,10
FP200000542BR_A5_18451,2
FP200000542BR_A5_18569,4
FP200000542BR_A5_18639,17
FP200000542BR_A5_18692,11
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,2
FP200000542BR_A5_18748,9
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,18
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,14
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,3
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,7
FP200000542BR_A5_19150,14
FP200000542BR_A5_19167,3
FP200000542BR_A5_19332,13
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,15
FP200000542BR_A5_19447,9
FP200000542BR_A5_19454,9
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,11
FP200000542BR_A5_19615,2
FP200000542BR_A5_19627,23
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,12
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,11
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,22
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,14
FP200000542BR_A5_20284,15
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,9
FP200000542BR_A5_20341,12
FP200000542BR_A5_20366,13
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,14
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,10
FP200000542BR_A5_20546,9
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,21
FP200000542BR_A5_20676,14
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,7
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,10
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,6
FP200000542BR_A5_20880,14
FP200000542BR_A5_21049,6
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,6
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,8
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,2
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,8
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,5
FP200000542BR_A5_21841,8
FP200000542BR_A5_21847,7
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,4
FP200000542BR_A5_21994,12
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,10
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,9
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,9
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,6
FP200000542BR_A5_22575,4
FP200000542BR_A5_22732,7
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,7
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,12
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,4
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,2
FP200000542BR_A5_23604,21
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,13
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,12
FP200000542BR_A5_24093,11
FP200000542BR_A5_24132,6
FP200000542BR_A5_24271,7
FP200000542BR_A5_24272,4
FP200000542BR_A5_24347,23
FP200000542BR_A5_24367,5
FP200000542BR_A5_24370,5
FP200000542BR_A5_24462,12
FP200000542BR_A5_24474,17
FP200000542BR_A5_24500,17
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,5
FP200000542BR_A5_24604,4
FP200000542BR_A5_24605,5
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,11
FP200000542BR_A5_24818,12
FP200000542BR_A5_24820,7
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,16
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,15
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,4
FP200000542BR_A5_25021,1
FP200000542BR_A5_25034,5
FP200000542BR_A5_25065,2
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,2
FP200000542BR_A5_25228,5
FP200000542BR_A5_25255,2
FP200000542BR_A5_25261,11
FP200000542BR_A5_25278,7
FP200000542BR_A5_25295,6
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,6
FP200000542BR_A5_25523,3
FP200000542BR_A5_25528,12
FP200000542BR_A5_25554,6
FP200000542BR_A5_25620,0
FP200000542BR_A5_25643,4
FP200000542BR_A5_25668,19
FP200000542BR_A5_25714,11
FP200000542BR_A5_25802,2
FP200000542BR_A5_25830,5
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,4
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,7
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,3
FP200000542BR_A5_26284,12
FP200000542BR_A5_26302,6
FP200000542BR_A5_26344,4
FP200000542BR_A5_26369,4
FP200000542BR_A5_26419,2
FP200000542BR_A5_26472,1
FP200000542BR_A5_26483,5
FP200000542BR_A5_26541,6
FP200000542BR_A5_26566,23
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,5
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,3
FP200000542BR_A5_26830,2
FP200000542BR_A5_26843,7
FP200000542BR_A5_26896,11
FP200000542BR_A5_26974,5
FP200000542BR_A5_27002,1
FP200000542BR_A5_27053,14
FP200000542BR_A5_27095,7
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,13
FP200000542BR_A5_27348,6
FP200000542BR_A5_27349,18
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,11
FP200000542BR_A5_27383,4
FP200000542BR_A5_27426,4
FP200000542BR_A5_27619,8
FP200000542BR_A5_27620,12
FP200000542BR_A5_27697,9
FP200000542BR_A5_27863,9
FP200000542BR_A5_27876,3
FP200000542BR_A5_27980,11
FP200000542BR_A5_27987,4
FP200000542BR_A5_28079,3
FP200000542BR_A5_28158,25
FP200000542BR_A5_28167,3
FP200000542BR_A5_28170,12
FP200000542BR_A5_28323,5
FP200000542BR_A5_28333,3
FP200000542BR_A5_28344,4
FP200000542BR_A5_28378,10
FP200000542BR_A5_28468,3
FP200000542BR_A5_28511,8
FP200000542BR_A5_28604,5
FP200000542BR_A5_28626,9
FP200000542BR_A5_28632,7
FP200000542BR_A5_28657,3
FP200000542BR_A5_28790,15
FP200000542BR_A5_28814,4
FP200000542BR_A5_28824,4
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,19
FP200000542BR_A5_28885,18
FP200000542BR_A5_28917,10
FP200000542BR_A5_29048,2
FP200000542BR_A5_29065,12
FP200000542BR_A5_29084,4
FP200000542BR_A5_29089,11
FP200000542BR_A5_29142,11
FP200000542BR_A5_29148,4
FP200000542BR_A5_29254,1
FP200000542BR_A5_29299,5
FP200000542BR_A5_29356,5
FP200000542BR_A5_29361,7
FP200000542BR_A5_29377,3
FP200000542BR_A5_29404,20
FP200000542BR_A5_29418,9
FP200000542BR_A5_29426,6
FP200000542BR_A5_29446,5
FP200000542BR_A5_29455,3
FP200000542BR_A5_29464,8
FP200000542BR_A5_29496,5
FP200000542BR_A5_29518,10
FP200000542BR_A5_29577,8
FP200000542BR_A5_29606,14
FP200000542BR_A5_29615,2
FP200000542BR_A5_29623,1
FP200000542BR_A5_29627,6
FP200000542BR_A5_29683,3
FP200000542BR_A5_29712,6
FP200000542BR_A5_29800,3
FP200000542BR_A5_29878,13
FP200000542BR_A5_29884,5
FP200000542BR_A5_29889,6
FP200000542BR_A5_29890,1
FP200000542BR_A5_29895,5
FP200000542BR_A5_29907,1
FP200000542BR_A5_30038,4
FP200000542BR_A5_30065,4
FP200000542BR_A5_30089,8
FP200000542BR_A5_30095,11
FP200000542BR_A5_30116,7
FP200000542BR_A5_30128,5
FP200000542BR_A5_30191,4
FP200000542BR_A5_30215,6
FP200000542BR_A5_30216,6
FP200000542BR_A5_30225,13
FP200000542BR_A5_30227,11
FP200000542BR_A5_30267,3
FP200000542BR_A5_30341,6
FP200000542BR_A5_30445,6
FP200000542BR_A5_30491,5
FP200000542BR_A5_30492,7
FP200000542BR_A5_30573,5
FP200000542BR_A5_30590,12
FP200000542BR_A5_30599,2
FP200000542BR_A5_30633,2
FP200000542BR_A5_30660,8
FP200000542BR_A5_30684,8
FP200000542BR_A5_30776,3
FP200000542BR_A5_30803,7
FP200000542BR_A5_30860,13
FP200000542BR_A5_30901,3
FP200000542BR_A5_31028,20
FP200000542BR_A5_31220,7
FP200000542BR_A5_31262,0
FP200000542BR_A5_31281,8
FP200000542BR_A5_31464,3
FP200000542BR_A5_31497,12
FP200000542BR_A5_31667,4
FP200000542BR_A5_31719,0
FP200000542BR_A5_31875,4
FP200000542BR_A5_32068,10
FP200000542BR_A5_32257,3
FP200000542BR_A5_32294,2
FP200000542BR_A5_32737,5
FP200000542BR_A5_32817,9
FP200000542BR_A5_32863,4
FP200000542BR_A5_32963,9
FP200000542BR_A5_33131,10
FP200000542BR_A5_33208,0
FP200000542BR_A5_33373,3
FP200000542BR_A5_33594,13
FP200000542BR_A5_34097,15
FP200000542BR_A5_34203,11
FP200000542BR_A5_34480,6
FP200000542BR_A5_34976,9
FP200000542BR_A5_35253,10
FP200000542BR_A5_35361,10
FP200000542BR_A5_35496,10
FP200000542BR_A5_35822,14
FP200000542BR_A3_14894,5
FP200000542BR_A3_14924,12
FP200000542BR_A3_14998,6
FP200000542BR_A3_15163,4
FP200000542BR_A3_15371,3
FP200000542BR_A3_16209,11
FP200000542BR_A3_17188,17
FP200000542BR_A3_17213,10
FP200000542BR_A3_17240,1
FP200000542BR_A3_17260,6
FP200000542BR_A3_17608,0
FP200000542BR_A3_17623,5
FP200000542BR_A3_17652,2
FP200000542BR_A3_17794,10
FP200000542BR_A3_17882,14
