cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,0
FP200000542BR_A5_14894,0
FP200000542BR_A5_15005,1
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,5
FP200000542BR_A5_16105,1
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,0
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,0
FP200000542BR_A5_17860,3
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,3
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,2
FP200000542BR_A5_18134,0
FP200000542BR_A5_18221,0
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,0
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,0
FP200000542BR_A5_18639,5
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,0
FP200000542BR_A5_18748,2
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,3
FP200000542BR_A5_18901,0
FP200000542BR_A5_19036,0
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,3
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,1
FP200000542BR_A5_19167,1
FP200000542BR_A5_19332,2
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,2
FP200000542BR_A5_19447,0
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,2
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,5
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,1
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,2
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,0
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,0
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,1
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,2
FP200000542BR_A5_20487,0
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,4
FP200000542BR_A5_20546,3
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,6
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,5
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,0
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,2
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,3
FP200000542BR_A5_21093,1
FP200000542BR_A5_21122,7
FP200000542BR_A5_21155,7
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,0
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,0
FP200000542BR_A5_21266,0
FP200000542BR_A5_21391,3
FP200000542BR_A5_21421,0
FP200000542BR_A5_21529,0
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,0
FP200000542BR_A5_21886,1
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,1
FP200000542BR_A5_22150,0
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,1
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,0
FP200000542BR_A5_22543,0
FP200000542BR_A5_22571,1
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,1
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,0
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,4
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,0
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,4
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,1
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,1
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,0
FP200000542BR_A5_24900,2
FP200000542BR_A5_24911,3
FP200000542BR_A5_24938,1
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,1
FP200000542BR_A5_25487,1
FP200000542BR_A5_25523,1
FP200000542BR_A5_25528,7
FP200000542BR_A5_25554,0
FP200000542BR_A5_25620,1
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,3
FP200000542BR_A5_25714,7
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,2
FP200000542BR_A5_25915,1
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,1
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,0
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,1
FP200000542BR_A5_26302,1
FP200000542BR_A5_26344,0
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,1
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,1
FP200000542BR_A5_26624,2
FP200000542BR_A5_26677,1
FP200000542BR_A5_26796,1
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,1
