cell_id,count
FP200000542BR_A5_14055,5
FP200000542BR_A5_14616,10
FP200000542BR_A5_14863,7
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,11
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,8
FP200000542BR_A5_16049,12
FP200000542BR_A5_16105,12
FP200000542BR_A5_16280,11
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,7
FP200000542BR_A5_16929,9
FP200000542BR_A5_17549,10
FP200000542BR_A5_17611,12
FP200000542BR_A5_17657,16
FP200000542BR_A5_17860,17
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,13
FP200000542BR_A5_18037,4
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,16
FP200000542BR_A5_18221,13
FP200000542BR_A5_18229,3
FP200000542BR_A5_18247,6
FP200000542BR_A5_18381,8
FP200000542BR_A5_18451,7
FP200000542BR_A5_18569,6
FP200000542BR_A5_18639,18
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,7
FP200000542BR_A5_18713,6
FP200000542BR_A5_18748,11
FP200000542BR_A5_18768,6
FP200000542BR_A5_18789,11
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,15
FP200000542BR_A5_19063,5
FP200000542BR_A5_19089,5
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,9
FP200000542BR_A5_19332,16
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,12
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,10
FP200000542BR_A5_19482,7
FP200000542BR_A5_19544,8
FP200000542BR_A5_19545,16
FP200000542BR_A5_19615,5
FP200000542BR_A5_19627,18
FP200000542BR_A5_19684,3
FP200000542BR_A5_19793,9
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,2
FP200000542BR_A5_19983,12
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,6
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,19
FP200000542BR_A5_20248,8
FP200000542BR_A5_20257,7
FP200000542BR_A5_20258,19
FP200000542BR_A5_20284,15
FP200000542BR_A5_20299,5
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,7
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,13
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,8
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,8
FP200000542BR_A5_20676,23
FP200000542BR_A5_20717,5
