cell_id,count
FP200000542BR_A5_14055,9
FP200000542BR_A5_14616,5
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,13
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,1
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,11
FP200000542BR_A5_16280,12
FP200000542BR_A5_16676,4
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,7
FP200000542BR_A5_17549,7
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,4
FP200000542BR_A5_17860,11
FP200000542BR_A5_17897,6
FP200000542BR_A5_17943,4
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,7
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,6
FP200000542BR_A5_18247,1
FP200000542BR_A5_18381,7
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,11
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,4
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,6
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,12
FP200000542BR_A5_19063,5
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,9
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,2
FP200000542BR_A5_19332,6
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,8
FP200000542BR_A5_19447,18
FP200000542BR_A5_19454,7
FP200000542BR_A5_19482,9
FP200000542BR_A5_19544,3
FP200000542BR_A5_19545,10
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,18
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,6
FP200000542BR_A5_19861,3
FP200000542BR_A5_19917,1
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,4
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,4
FP200000542BR_A5_20248,0
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,11
FP200000542BR_A5_20284,9
FP200000542BR_A5_20299,6
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,10
FP200000542BR_A5_20377,3
FP200000542BR_A5_20487,4
FP200000542BR_A5_20492,0
FP200000542BR_A5_20524,2
FP200000542BR_A5_20541,10
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,5
FP200000542BR_A5_20585,3
FP200000542BR_A5_20673,11
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,3
FP200000542BR_A5_20846,3
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,1
FP200000542BR_A5_21049,1
FP200000542BR_A5_21056,8
FP200000542BR_A5_21093,10
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,1
FP200000542BR_A5_21213,7
FP200000542BR_A5_21219,9
FP200000542BR_A5_21235,7
FP200000542BR_A5_21266,5
FP200000542BR_A5_21391,9
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,6
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,12
FP200000542BR_A5_21841,5
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,7
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,2
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,3
FP200000542BR_A5_22339,2
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,3
FP200000542BR_A5_22543,5
FP200000542BR_A5_22571,9
FP200000542BR_A5_22575,2
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,3
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,0
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,3
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,3
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,16
FP200000542BR_A5_23846,1
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,3
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,3
FP200000542BR_A5_24367,6
FP200000542BR_A5_24370,3
FP200000542BR_A5_24462,14
FP200000542BR_A5_24474,7
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,5
FP200000542BR_A5_24562,2
FP200000542BR_A5_24564,7
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,4
FP200000542BR_A5_24605,5
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,2
FP200000542BR_A5_24889,4
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,3
FP200000542BR_A5_24956,2
FP200000542BR_A5_25021,3
FP200000542BR_A5_25034,0
FP200000542BR_A5_25065,4
FP200000542BR_A5_25070,6
FP200000542BR_A5_25185,3
FP200000542BR_A5_25228,2
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,3
FP200000542BR_A5_25278,3
FP200000542BR_A5_25295,7
FP200000542BR_A5_25301,3
FP200000542BR_A5_25450,1
FP200000542BR_A5_25456,2
FP200000542BR_A5_25487,10
FP200000542BR_A5_25523,0
