cell_id,count
FP200000542BR_A5_14055,3
FP200000542BR_A5_14616,7
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,8
FP200000542BR_A5_16049,9
FP200000542BR_A5_16105,11
FP200000542BR_A5_16280,10
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,8
FP200000542BR_A5_17611,12
FP200000542BR_A5_17657,10
FP200000542BR_A5_17860,8
FP200000542BR_A5_17897,2
FP200000542BR_A5_17943,7
FP200000542BR_A5_18037,3
FP200000542BR_A5_18060,5
FP200000542BR_A5_18134,5
FP200000542BR_A5_18221,4
FP200000542BR_A5_18229,9
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,6
FP200000542BR_A5_18451,5
FP200000542BR_A5_18569,1
FP200000542BR_A5_18639,6
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,4
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,8
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,10
FP200000542BR_A5_19167,6
FP200000542BR_A5_19332,13
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,12
FP200000542BR_A5_19454,11
FP200000542BR_A5_19482,4
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,13
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,11
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,10
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,9
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,13
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,1
FP200000542BR_A5_20258,14
FP200000542BR_A5_20284,12
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,4
FP200000542BR_A5_20341,8
FP200000542BR_A5_20366,5
FP200000542BR_A5_20377,6
FP200000542BR_A5_20487,11
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,4
FP200000542BR_A5_20541,5
FP200000542BR_A5_20546,10
FP200000542BR_A5_20571,6
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,13
FP200000542BR_A5_20717,7
FP200000542BR_A5_20735,15
FP200000542BR_A5_20754,1
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,20
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,1
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,11
FP200000542BR_A5_21093,10
FP200000542BR_A5_21122,9
FP200000542BR_A5_21155,16
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,5
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,3
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,15
FP200000542BR_A5_21421,2
FP200000542BR_A5_21529,8
FP200000542BR_A5_21696,3
FP200000542BR_A5_21792,17
FP200000542BR_A5_21841,12
FP200000542BR_A5_21847,8
FP200000542BR_A5_21886,7
FP200000542BR_A5_21964,2
FP200000542BR_A5_21994,9
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,6
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,9
FP200000542BR_A5_22339,4
FP200000542BR_A5_22408,4
FP200000542BR_A5_22447,5
FP200000542BR_A5_22543,8
FP200000542BR_A5_22571,12
FP200000542BR_A5_22575,5
FP200000542BR_A5_22732,12
FP200000542BR_A5_22753,2
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,18
FP200000542BR_A5_23269,4
FP200000542BR_A5_23309,3
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,6
FP200000542BR_A5_23604,12
FP200000542BR_A5_23711,3
FP200000542BR_A5_23816,2
FP200000542BR_A5_23846,4
FP200000542BR_A5_23850,16
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,4
FP200000542BR_A5_24271,6
FP200000542BR_A5_24272,5
FP200000542BR_A5_24347,14
FP200000542BR_A5_24367,11
FP200000542BR_A5_24370,5
FP200000542BR_A5_24462,17
FP200000542BR_A5_24474,13
FP200000542BR_A5_24500,11
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,4
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,1
