cell_id,count
FP200000542BR_A5_14055,7
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,9
FP200000542BR_A5_14894,9
FP200000542BR_A5_15005,18
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,4
FP200000542BR_A5_16049,15
FP200000542BR_A5_16105,7
FP200000542BR_A5_16280,9
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,8
FP200000542BR_A5_17549,14
FP200000542BR_A5_17611,6
FP200000542BR_A5_17657,13
FP200000542BR_A5_17860,5
FP200000542BR_A5_17897,5
FP200000542BR_A5_17943,11
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,6
FP200000542BR_A5_18134,18
FP200000542BR_A5_18221,8
FP200000542BR_A5_18229,6
FP200000542BR_A5_18247,5
FP200000542BR_A5_18381,10
FP200000542BR_A5_18451,3
FP200000542BR_A5_18569,11
FP200000542BR_A5_18639,17
FP200000542BR_A5_18692,2
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,5
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,9
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,14
FP200000542BR_A5_19063,3
FP200000542BR_A5_19089,5
FP200000542BR_A5_19111,5
FP200000542BR_A5_19120,4
FP200000542BR_A5_19150,13
FP200000542BR_A5_19167,11
FP200000542BR_A5_19332,14
FP200000542BR_A5_19409,2
FP200000542BR_A5_19423,14
FP200000542BR_A5_19447,17
FP200000542BR_A5_19454,4
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,5
FP200000542BR_A5_19545,8
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,20
FP200000542BR_A5_19684,15
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,11
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,2
FP200000542BR_A5_20200,5
FP200000542BR_A5_20219,23
FP200000542BR_A5_20248,2
FP200000542BR_A5_20257,0
FP200000542BR_A5_20258,13
FP200000542BR_A5_20284,21
FP200000542BR_A5_20299,2
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,11
FP200000542BR_A5_20366,7
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,4
FP200000542BR_A5_20541,9
FP200000542BR_A5_20546,13
FP200000542BR_A5_20571,10
FP200000542BR_A5_20585,8
FP200000542BR_A5_20673,14
FP200000542BR_A5_20676,23
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,8
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,1
FP200000542BR_A5_20806,13
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,8
FP200000542BR_A5_20880,6
FP200000542BR_A5_21049,3
FP200000542BR_A5_21056,4
FP200000542BR_A5_21093,7
FP200000542BR_A5_21122,5
FP200000542BR_A5_21155,22
FP200000542BR_A5_21203,5
FP200000542BR_A5_21213,14
FP200000542BR_A5_21219,11
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,19
FP200000542BR_A5_21421,3
FP200000542BR_A5_21529,11
FP200000542BR_A5_21696,9
FP200000542BR_A5_21792,20
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,5
FP200000542BR_A5_21886,3
FP200000542BR_A5_21964,10
FP200000542BR_A5_21994,9
FP200000542BR_A5_22116,9
FP200000542BR_A5_22150,8
FP200000542BR_A5_22262,5
FP200000542BR_A5_22293,20
FP200000542BR_A5_22339,9
FP200000542BR_A5_22408,7
FP200000542BR_A5_22447,7
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,7
FP200000542BR_A5_22575,5
FP200000542BR_A5_22732,10
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,6
FP200000542BR_A5_23123,3
FP200000542BR_A5_23251,5
FP200000542BR_A5_23269,2
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,7
FP200000542BR_A5_23382,4
FP200000542BR_A5_23604,8
FP200000542BR_A5_23711,0
FP200000542BR_A5_23816,15
FP200000542BR_A5_23846,3
FP200000542BR_A5_23850,8
FP200000542BR_A5_24093,5
FP200000542BR_A5_24132,5
FP200000542BR_A5_24271,5
FP200000542BR_A5_24272,2
FP200000542BR_A5_24347,12
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,5
FP200000542BR_A5_24462,7
FP200000542BR_A5_24474,8
FP200000542BR_A5_24500,14
FP200000542BR_A5_24547,4
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,2
FP200000542BR_A5_24567,7
FP200000542BR_A5_24578,2
FP200000542BR_A5_24604,5
FP200000542BR_A5_24605,8
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,2
FP200000542BR_A5_24818,10
FP200000542BR_A5_24820,2
FP200000542BR_A5_24871,1
FP200000542BR_A5_24889,13
