cell_id,count
FP200000542BR_A5_14055,0
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,3
FP200000542BR_A5_14894,2
FP200000542BR_A5_15005,8
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,7
FP200000542BR_A5_16049,4
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,0
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,1
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,2
FP200000542BR_A5_17657,2
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,0
FP200000542BR_A5_17943,0
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,1
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,2
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,3
FP200000542BR_A5_18381,1
FP200000542BR_A5_18451,0
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,8
FP200000542BR_A5_18692,4
FP200000542BR_A5_18705,0
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,3
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,1
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,2
FP200000542BR_A5_19167,7
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,0
FP200000542BR_A5_19423,3
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,5
FP200000542BR_A5_19482,3
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,1
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,5
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,1
FP200000542BR_A5_19861,2
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,3
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,8
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,3
FP200000542BR_A5_20284,3
FP200000542BR_A5_20299,0
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,0
FP200000542BR_A5_20487,1
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,7
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,2
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,8
FP200000542BR_A5_20717,0
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,5
FP200000542BR_A5_20846,2
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,0
FP200000542BR_A5_21056,2
FP200000542BR_A5_21093,10
FP200000542BR_A5_21122,0
FP200000542BR_A5_21155,5
FP200000542BR_A5_21203,2
FP200000542BR_A5_21213,3
FP200000542BR_A5_21219,2
FP200000542BR_A5_21235,2
FP200000542BR_A5_21266,1
FP200000542BR_A5_21391,7
FP200000542BR_A5_21421,4
FP200000542BR_A5_21529,1
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,7
FP200000542BR_A5_21841,3
FP200000542BR_A5_21847,4
FP200000542BR_A5_21886,0
FP200000542BR_A5_21964,0
FP200000542BR_A5_21994,0
FP200000542BR_A5_22116,6
FP200000542BR_A5_22150,0
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,4
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,1
FP200000542BR_A5_22447,4
FP200000542BR_A5_22543,2
FP200000542BR_A5_22571,0
FP200000542BR_A5_22575,0
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,2
FP200000542BR_A5_23123,2
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,0
FP200000542BR_A5_23309,0
FP200000542BR_A5_23313,2
FP200000542BR_A5_23382,0
FP200000542BR_A5_23604,5
FP200000542BR_A5_23711,1
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,5
FP200000542BR_A5_24093,0
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,1
FP200000542BR_A5_24272,1
FP200000542BR_A5_24347,9
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,2
FP200000542BR_A5_24474,3
FP200000542BR_A5_24500,2
FP200000542BR_A5_24547,1
FP200000542BR_A5_24562,1
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,3
FP200000542BR_A5_24578,1
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,2
FP200000542BR_A5_24744,2
FP200000542BR_A5_24757,5
FP200000542BR_A5_24818,3
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,4
FP200000542BR_A5_24900,0
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,2
FP200000542BR_A5_24953,1
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,3
FP200000542BR_A5_25034,4
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,0
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,1
FP200000542BR_A5_25255,1
FP200000542BR_A5_25261,1
FP200000542BR_A5_25278,2
FP200000542BR_A5_25295,1
FP200000542BR_A5_25301,1
FP200000542BR_A5_25450,0
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,3
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,3
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,0
FP200000542BR_A5_25668,1
FP200000542BR_A5_25714,1
FP200000542BR_A5_25802,0
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,5
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,1
FP200000542BR_A5_26133,1
FP200000542BR_A5_26165,1
FP200000542BR_A5_26180,1
FP200000542BR_A5_26284,5
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,1
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,2
FP200000542BR_A5_26472,7
FP200000542BR_A5_26483,1
FP200000542BR_A5_26541,2
FP200000542BR_A5_26566,1
FP200000542BR_A5_26576,5
FP200000542BR_A5_26579,0
FP200000542BR_A5_26624,3
FP200000542BR_A5_26677,0
FP200000542BR_A5_26796,0
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,5
FP200000542BR_A5_26896,2
FP200000542BR_A5_26974,0
FP200000542BR_A5_27002,8
FP200000542BR_A5_27053,2
FP200000542BR_A5_27095,0
FP200000542BR_A5_27197,2
FP200000542BR_A5_27220,2
FP200000542BR_A5_27348,0
FP200000542BR_A5_27349,4
FP200000542BR_A5_27364,1
FP200000542BR_A5_27377,1
FP200000542BR_A5_27383,2
FP200000542BR_A5_27426,2
FP200000542BR_A5_27619,7
FP200000542BR_A5_27620,6
FP200000542BR_A5_27697,2
FP200000542BR_A5_27863,1
FP200000542BR_A5_27876,2
FP200000542BR_A5_27980,0
FP200000542BR_A5_27987,1
FP200000542BR_A5_28079,1
FP200000542BR_A5_28158,3
FP200000542BR_A5_28167,4
FP200000542BR_A5_28170,1
FP200000542BR_A5_28323,1
FP200000542BR_A5_28333,1
FP200000542BR_A5_28344,0
FP200000542BR_A5_28378,2
FP200000542BR_A5_28468,2
FP200000542BR_A5_28511,0
FP200000542BR_A5_28604,3
FP200000542BR_A5_28626,8
FP200000542BR_A5_28632,1
FP200000542BR_A5_28657,5
FP200000542BR_A5_28790,3
FP200000542BR_A5_28814,5
FP200000542BR_A5_28824,1
FP200000542BR_A5_28839,0
FP200000542BR_A5_28846,5
FP200000542BR_A5_28885,3
FP200000542BR_A5_28917,1
FP200000542BR_A5_29048,0
FP200000542BR_A5_29065,2
FP200000542BR_A5_29084,2
FP200000542BR_A5_29089,13
FP200000542BR_A5_29142,4
FP200000542BR_A5_29148,2
FP200000542BR_A5_29254,0
FP200000542BR_A5_29299,1
FP200000542BR_A5_29356,3
FP200000542BR_A5_29361,0
FP200000542BR_A5_29377,2
FP200000542BR_A5_29404,5
FP200000542BR_A5_29418,1
FP200000542BR_A5_29426,0
FP200000542BR_A5_29446,1
FP200000542BR_A5_29455,1
FP200000542BR_A5_29464,1
FP200000542BR_A5_29496,5
FP200000542BR_A5_29518,0
