cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,2
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,1
FP200000542BR_A5_15005,2
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,6
FP200000542BR_A5_16049,3
FP200000542BR_A5_16105,4
FP200000542BR_A5_16280,4
FP200000542BR_A5_16676,1
FP200000542BR_A5_16700,0
FP200000542BR_A5_16929,5
FP200000542BR_A5_17549,1
FP200000542BR_A5_17611,0
FP200000542BR_A5_17657,8
FP200000542BR_A5_17860,0
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,2
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,1
FP200000542BR_A5_18221,3
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,0
FP200000542BR_A5_18381,5
FP200000542BR_A5_18451,4
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,3
FP200000542BR_A5_18692,1
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,0
FP200000542BR_A5_18768,2
FP200000542BR_A5_18789,2
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,4
FP200000542BR_A5_19063,0
FP200000542BR_A5_19089,0
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,3
FP200000542BR_A5_19150,3
FP200000542BR_A5_19167,4
FP200000542BR_A5_19332,3
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,7
FP200000542BR_A5_19447,8
FP200000542BR_A5_19454,2
FP200000542BR_A5_19482,1
FP200000542BR_A5_19544,0
FP200000542BR_A5_19545,6
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,4
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,0
FP200000542BR_A5_19861,0
FP200000542BR_A5_19917,0
FP200000542BR_A5_19983,5
FP200000542BR_A5_20096,0
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,5
FP200000542BR_A5_20219,3
FP200000542BR_A5_20248,1
FP200000542BR_A5_20257,3
FP200000542BR_A5_20258,1
FP200000542BR_A5_20284,2
FP200000542BR_A5_20299,1
FP200000542BR_A5_20323,1
FP200000542BR_A5_20341,2
FP200000542BR_A5_20366,6
FP200000542BR_A5_20377,1
FP200000542BR_A5_20487,5
FP200000542BR_A5_20492,4
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,2
FP200000542BR_A5_20571,0
FP200000542BR_A5_20585,0
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,4
FP200000542BR_A5_20717,1
FP200000542BR_A5_20735,1
FP200000542BR_A5_20754,0
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,7
FP200000542BR_A5_20846,1
FP200000542BR_A5_20869,4
FP200000542BR_A5_20880,0
FP200000542BR_A5_21049,2
FP200000542BR_A5_21056,1
FP200000542BR_A5_21093,2
FP200000542BR_A5_21122,2
FP200000542BR_A5_21155,4
FP200000542BR_A5_21203,0
FP200000542BR_A5_21213,1
FP200000542BR_A5_21219,0
FP200000542BR_A5_21235,1
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,6
FP200000542BR_A5_21421,1
FP200000542BR_A5_21529,4
FP200000542BR_A5_21696,1
FP200000542BR_A5_21792,2
FP200000542BR_A5_21841,0
FP200000542BR_A5_21847,2
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,1
FP200000542BR_A5_21994,3
FP200000542BR_A5_22116,3
FP200000542BR_A5_22150,2
FP200000542BR_A5_22262,1
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,1
FP200000542BR_A5_22408,0
FP200000542BR_A5_22447,2
FP200000542BR_A5_22543,1
FP200000542BR_A5_22571,6
FP200000542BR_A5_22575,1
FP200000542BR_A5_22732,2
FP200000542BR_A5_22753,0
FP200000542BR_A5_22931,3
FP200000542BR_A5_23123,1
FP200000542BR_A5_23251,2
FP200000542BR_A5_23269,1
FP200000542BR_A5_23309,1
FP200000542BR_A5_23313,1
FP200000542BR_A5_23382,4
FP200000542BR_A5_23604,1
FP200000542BR_A5_23711,2
FP200000542BR_A5_23816,4
FP200000542BR_A5_23846,2
FP200000542BR_A5_23850,4
FP200000542BR_A5_24093,1
FP200000542BR_A5_24132,2
FP200000542BR_A5_24271,0
FP200000542BR_A5_24272,0
FP200000542BR_A5_24347,5
FP200000542BR_A5_24367,0
FP200000542BR_A5_24370,4
FP200000542BR_A5_24462,0
FP200000542BR_A5_24474,3
FP200000542BR_A5_24500,5
FP200000542BR_A5_24547,0
FP200000542BR_A5_24562,0
FP200000542BR_A5_24564,8
FP200000542BR_A5_24567,0
FP200000542BR_A5_24578,0
FP200000542BR_A5_24604,2
FP200000542BR_A5_24605,0
FP200000542BR_A5_24744,0
FP200000542BR_A5_24757,0
FP200000542BR_A5_24818,7
FP200000542BR_A5_24820,0
FP200000542BR_A5_24871,0
FP200000542BR_A5_24889,3
FP200000542BR_A5_24900,1
FP200000542BR_A5_24911,1
FP200000542BR_A5_24938,5
FP200000542BR_A5_24953,0
FP200000542BR_A5_24956,0
FP200000542BR_A5_25021,0
FP200000542BR_A5_25034,1
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,2
FP200000542BR_A5_25185,0
FP200000542BR_A5_25228,0
FP200000542BR_A5_25255,0
FP200000542BR_A5_25261,0
FP200000542BR_A5_25278,0
FP200000542BR_A5_25295,0
FP200000542BR_A5_25301,0
FP200000542BR_A5_25450,2
FP200000542BR_A5_25456,0
FP200000542BR_A5_25487,0
FP200000542BR_A5_25523,0
FP200000542BR_A5_25528,4
FP200000542BR_A5_25554,1
FP200000542BR_A5_25620,2
FP200000542BR_A5_25643,1
FP200000542BR_A5_25668,0
FP200000542BR_A5_25714,3
FP200000542BR_A5_25802,1
FP200000542BR_A5_25830,0
FP200000542BR_A5_25915,0
FP200000542BR_A5_26007,0
FP200000542BR_A5_26051,0
FP200000542BR_A5_26094,0
FP200000542BR_A5_26133,2
FP200000542BR_A5_26165,2
FP200000542BR_A5_26180,0
FP200000542BR_A5_26284,3
FP200000542BR_A5_26302,0
FP200000542BR_A5_26344,2
FP200000542BR_A5_26369,0
FP200000542BR_A5_26419,0
FP200000542BR_A5_26472,0
FP200000542BR_A5_26483,0
FP200000542BR_A5_26541,3
FP200000542BR_A5_26566,3
FP200000542BR_A5_26576,1
FP200000542BR_A5_26579,2
FP200000542BR_A5_26624,1
FP200000542BR_A5_26677,2
FP200000542BR_A5_26796,6
FP200000542BR_A5_26830,0
FP200000542BR_A5_26843,1
