cell_id,count
FP200000542BR_A5_14055,11
FP200000542BR_A5_14616,6
FP200000542BR_A5_14863,10
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,18
FP200000542BR_A5_15006,1
FP200000542BR_A5_15016,3
FP200000542BR_A5_16049,8
FP200000542BR_A5_16105,13
FP200000542BR_A5_16280,2
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,7
FP200000542BR_A5_16929,2
FP200000542BR_A5_17549,4
FP200000542BR_A5_17611,3
FP200000542BR_A5_17657,11
FP200000542BR_A5_17860,7
FP200000542BR_A5_17897,6
FP200000542BR_A5_17943,11
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,14
FP200000542BR_A5_18229,5
FP200000542BR_A5_18247,2
FP200000542BR_A5_18381,2
FP200000542BR_A5_18451,7
FP200000542BR_A5_18569,6
FP200000542BR_A5_18639,4
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,6
FP200000542BR_A5_18713,5
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,4
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,9
FP200000542BR_A5_19063,4
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,7
FP200000542BR_A5_19120,0
FP200000542BR_A5_19150,8
FP200000542BR_A5_19167,5
FP200000542BR_A5_19332,9
FP200000542BR_A5_19409,4
FP200000542BR_A5_19423,11
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,6
FP200000542BR_A5_19544,2
FP200000542BR_A5_19545,14
FP200000542BR_A5_19615,0
FP200000542BR_A5_19627,13
FP200000542BR_A5_19684,6
FP200000542BR_A5_19793,8
FP200000542BR_A5_19861,10
FP200000542BR_A5_19917,3
FP200000542BR_A5_19983,4
FP200000542BR_A5_20096,1
FP200000542BR_A5_20176,0
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,10
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,11
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,8
FP200000542BR_A5_20341,3
FP200000542BR_A5_20366,2
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,10
FP200000542BR_A5_20492,16
FP200000542BR_A5_20524,6
FP200000542BR_A5_20541,8
FP200000542BR_A5_20546,5
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,7
FP200000542BR_A5_20673,8
FP200000542BR_A5_20676,19
FP200000542BR_A5_20717,3
FP200000542BR_A5_20735,19
FP200000542BR_A5_20754,7
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,22
FP200000542BR_A5_20846,4
FP200000542BR_A5_20869,8
FP200000542BR_A5_20880,2
FP200000542BR_A5_21049,5
FP200000542BR_A5_21056,10
FP200000542BR_A5_21093,14
FP200000542BR_A5_21122,4
FP200000542BR_A5_21155,17
FP200000542BR_A5_21203,13
FP200000542BR_A5_21213,11
FP200000542BR_A5_21219,12
FP200000542BR_A5_21235,12
FP200000542BR_A5_21266,6
FP200000542BR_A5_21391,17
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,13
FP200000542BR_A5_21696,6
FP200000542BR_A5_21792,15
FP200000542BR_A5_21841,6
FP200000542BR_A5_21847,10
FP200000542BR_A5_21886,5
FP200000542BR_A5_21964,8
FP200000542BR_A5_21994,15
FP200000542BR_A5_22116,2
FP200000542BR_A5_22150,13
FP200000542BR_A5_22262,4
FP200000542BR_A5_22293,5
FP200000542BR_A5_22339,12
FP200000542BR_A5_22408,8
FP200000542BR_A5_22447,7
FP200000542BR_A5_22543,16
FP200000542BR_A5_22571,10
FP200000542BR_A5_22575,14
FP200000542BR_A5_22732,15
FP200000542BR_A5_22753,16
FP200000542BR_A5_22931,9
FP200000542BR_A5_23123,6
FP200000542BR_A5_23251,13
FP200000542BR_A5_23269,5
FP200000542BR_A5_23309,7
FP200000542BR_A5_23313,3
FP200000542BR_A5_23382,12
FP200000542BR_A5_23604,11
FP200000542BR_A5_23711,4
FP200000542BR_A5_23816,34
FP200000542BR_A5_23846,13
FP200000542BR_A5_23850,9
FP200000542BR_A5_24093,4
FP200000542BR_A5_24132,8
FP200000542BR_A5_24271,5
FP200000542BR_A5_24272,5
FP200000542BR_A5_24347,11
FP200000542BR_A5_24367,8
FP200000542BR_A5_24370,8
FP200000542BR_A5_24462,8
