cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,16
FP200000542BR_A5_14863,1
FP200000542BR_A5_14894,4
FP200000542BR_A5_15005,5
FP200000542BR_A5_15006,0
FP200000542BR_A5_15016,5
FP200000542BR_A5_16049,10
FP200000542BR_A5_16105,12
FP200000542BR_A5_16280,6
FP200000542BR_A5_16676,7
FP200000542BR_A5_16700,1
FP200000542BR_A5_16929,3
FP200000542BR_A5_17549,6
FP200000542BR_A5_17611,5
FP200000542BR_A5_17657,8
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,9
FP200000542BR_A5_17943,9
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,8
FP200000542BR_A5_18134,8
FP200000542BR_A5_18221,6
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,6
FP200000542BR_A5_18381,7
FP200000542BR_A5_18451,13
FP200000542BR_A5_18569,5
FP200000542BR_A5_18639,10
FP200000542BR_A5_18692,5
FP200000542BR_A5_18705,7
FP200000542BR_A5_18713,4
FP200000542BR_A5_18748,3
FP200000542BR_A5_18768,6
FP200000542BR_A5_18789,19
FP200000542BR_A5_18901,2
FP200000542BR_A5_19036,12
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,2
FP200000542BR_A5_19111,7
FP200000542BR_A5_19120,2
FP200000542BR_A5_19150,24
FP200000542BR_A5_19167,8
FP200000542BR_A5_19332,12
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,5
FP200000542BR_A5_19447,7
FP200000542BR_A5_19454,7
FP200000542BR_A5_19482,8
FP200000542BR_A5_19544,4
FP200000542BR_A5_19545,13
FP200000542BR_A5_19615,1
FP200000542BR_A5_19627,13
FP200000542BR_A5_19684,13
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,5
FP200000542BR_A5_19917,5
FP200000542BR_A5_19983,7
FP200000542BR_A5_20096,2
FP200000542BR_A5_20176,7
FP200000542BR_A5_20200,5
FP200000542BR_A5_20219,13
FP200000542BR_A5_20248,15
FP200000542BR_A5_20257,12
FP200000542BR_A5_20258,12
FP200000542BR_A5_20284,20
FP200000542BR_A5_20299,8
FP200000542BR_A5_20323,5
FP200000542BR_A5_20341,7
FP200000542BR_A5_20366,1
FP200000542BR_A5_20377,11
FP200000542BR_A5_20487,8
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,7
FP200000542BR_A5_20541,19
FP200000542BR_A5_20546,10
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,2
FP200000542BR_A5_20673,3
FP200000542BR_A5_20676,14
FP200000542BR_A5_20717,2
FP200000542BR_A5_20735,9
FP200000542BR_A5_20754,11
FP200000542BR_A5_20765,2
FP200000542BR_A5_20806,23
FP200000542BR_A5_20846,9
FP200000542BR_A5_20869,10
FP200000542BR_A5_20880,3
FP200000542BR_A5_21049,4
FP200000542BR_A5_21056,20
FP200000542BR_A5_21093,15
FP200000542BR_A5_21122,8
FP200000542BR_A5_21155,9
FP200000542BR_A5_21203,4
FP200000542BR_A5_21213,9
FP200000542BR_A5_21219,3
FP200000542BR_A5_21235,5
FP200000542BR_A5_21266,3
FP200000542BR_A5_21391,20
