cell_id,count
FP200000542BR_A5_14055,4
FP200000542BR_A5_14616,4
FP200000542BR_A5_14863,13
FP200000542BR_A5_14894,10
FP200000542BR_A5_15005,12
FP200000542BR_A5_15006,3
FP200000542BR_A5_15016,7
FP200000542BR_A5_16049,18
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,12
FP200000542BR_A5_16676,3
FP200000542BR_A5_16700,3
FP200000542BR_A5_16929,7
FP200000542BR_A5_17549,6
FP200000542BR_A5_17611,12
FP200000542BR_A5_17657,7
FP200000542BR_A5_17860,11
FP200000542BR_A5_17897,1
FP200000542BR_A5_17943,6
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,9
FP200000542BR_A5_18134,3
FP200000542BR_A5_18221,10
FP200000542BR_A5_18229,4
FP200000542BR_A5_18247,7
FP200000542BR_A5_18381,9
FP200000542BR_A5_18451,7
FP200000542BR_A5_18569,2
FP200000542BR_A5_18639,15
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,1
FP200000542BR_A5_18713,1
FP200000542BR_A5_18748,6
FP200000542BR_A5_18768,3
FP200000542BR_A5_18789,13
FP200000542BR_A5_18901,1
FP200000542BR_A5_19036,7
FP200000542BR_A5_19063,2
FP200000542BR_A5_19089,1
FP200000542BR_A5_19111,8
FP200000542BR_A5_19120,4
FP200000542BR_A5_19150,6
FP200000542BR_A5_19167,7
FP200000542BR_A5_19332,9
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,13
FP200000542BR_A5_19447,10
FP200000542BR_A5_19454,1
FP200000542BR_A5_19482,5
FP200000542BR_A5_19544,4
FP200000542BR_A5_19545,18
FP200000542BR_A5_19615,3
FP200000542BR_A5_19627,12
FP200000542BR_A5_19684,2
FP200000542BR_A5_19793,4
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,4
FP200000542BR_A5_19983,18
FP200000542BR_A5_20096,5
FP200000542BR_A5_20176,3
FP200000542BR_A5_20200,1
FP200000542BR_A5_20219,16
FP200000542BR_A5_20248,3
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,10
FP200000542BR_A5_20284,16
FP200000542BR_A5_20299,3
FP200000542BR_A5_20323,2
FP200000542BR_A5_20341,5
FP200000542BR_A5_20366,12
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,6
FP200000542BR_A5_20492,1
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,11
FP200000542BR_A5_20546,9
FP200000542BR_A5_20571,1
FP200000542BR_A5_20585,1
FP200000542BR_A5_20673,1
FP200000542BR_A5_20676,15
FP200000542BR_A5_20717,6
FP200000542BR_A5_20735,11
FP200000542BR_A5_20754,2
FP200000542BR_A5_20765,0
FP200000542BR_A5_20806,14
FP200000542BR_A5_20846,7
FP200000542BR_A5_20869,5
FP200000542BR_A5_20880,6
FP200000542BR_A5_21049,8
FP200000542BR_A5_21056,16
FP200000542BR_A5_21093,6
FP200000542BR_A5_21122,7
FP200000542BR_A5_21155,13
FP200000542BR_A5_21203,6
FP200000542BR_A5_21213,4
FP200000542BR_A5_21219,5
FP200000542BR_A5_21235,4
FP200000542BR_A5_21266,2
FP200000542BR_A5_21391,15
FP200000542BR_A5_21421,5
FP200000542BR_A5_21529,2
FP200000542BR_A5_21696,4
FP200000542BR_A5_21792,9
FP200000542BR_A5_21841,7
FP200000542BR_A5_21847,17
FP200000542BR_A5_21886,4
FP200000542BR_A5_21964,5
FP200000542BR_A5_21994,11
FP200000542BR_A5_22116,4
FP200000542BR_A5_22150,11
FP200000542BR_A5_22262,0
FP200000542BR_A5_22293,11
FP200000542BR_A5_22339,6
FP200000542BR_A5_22408,2
FP200000542BR_A5_22447,6
FP200000542BR_A5_22543,4
FP200000542BR_A5_22571,10
FP200000542BR_A5_22575,3
FP200000542BR_A5_22732,6
FP200000542BR_A5_22753,1
FP200000542BR_A5_22931,5
FP200000542BR_A5_23123,9
FP200000542BR_A5_23251,7
FP200000542BR_A5_23269,3
FP200000542BR_A5_23309,5
FP200000542BR_A5_23313,0
FP200000542BR_A5_23382,16
FP200000542BR_A5_23604,6
FP200000542BR_A5_23711,7
FP200000542BR_A5_23816,16
FP200000542BR_A5_23846,9
FP200000542BR_A5_23850,12
FP200000542BR_A5_24093,8
FP200000542BR_A5_24132,3
FP200000542BR_A5_24271,4
FP200000542BR_A5_24272,4
FP200000542BR_A5_24347,9
FP200000542BR_A5_24367,2
FP200000542BR_A5_24370,2
FP200000542BR_A5_24462,8
FP200000542BR_A5_24474,5
FP200000542BR_A5_24500,9
FP200000542BR_A5_24547,3
FP200000542BR_A5_24562,3
FP200000542BR_A5_24564,5
FP200000542BR_A5_24567,4
FP200000542BR_A5_24578,3
FP200000542BR_A5_24604,14
FP200000542BR_A5_24605,9
FP200000542BR_A5_24744,5
FP200000542BR_A5_24757,7
FP200000542BR_A5_24818,5
FP200000542BR_A5_24820,1
FP200000542BR_A5_24871,3
FP200000542BR_A5_24889,11
FP200000542BR_A5_24900,3
FP200000542BR_A5_24911,2
FP200000542BR_A5_24938,7
FP200000542BR_A5_24953,2
FP200000542BR_A5_24956,6
FP200000542BR_A5_25021,2
FP200000542BR_A5_25034,6
FP200000542BR_A5_25065,1
FP200000542BR_A5_25070,1
FP200000542BR_A5_25185,2
FP200000542BR_A5_25228,7
FP200000542BR_A5_25255,3
FP200000542BR_A5_25261,5
FP200000542BR_A5_25278,11
FP200000542BR_A5_25295,3
FP200000542BR_A5_25301,4
FP200000542BR_A5_25450,8
FP200000542BR_A5_25456,1
