cell_id,count
FP200000542BR_A5_14055,1
FP200000542BR_A5_14616,8
FP200000542BR_A5_14863,13
FP200000542BR_A5_14894,6
FP200000542BR_A5_15005,10
FP200000542BR_A5_15006,2
FP200000542BR_A5_15016,9
FP200000542BR_A5_16049,16
FP200000542BR_A5_16105,6
FP200000542BR_A5_16280,3
FP200000542BR_A5_16676,2
FP200000542BR_A5_16700,2
FP200000542BR_A5_16929,11
FP200000542BR_A5_17549,14
FP200000542BR_A5_17611,7
FP200000542BR_A5_17657,6
FP200000542BR_A5_17860,9
FP200000542BR_A5_17897,8
FP200000542BR_A5_17943,11
FP200000542BR_A5_18037,0
FP200000542BR_A5_18060,4
FP200000542BR_A5_18134,6
FP200000542BR_A5_18221,14
FP200000542BR_A5_18229,1
FP200000542BR_A5_18247,8
FP200000542BR_A5_18381,15
FP200000542BR_A5_18451,1
FP200000542BR_A5_18569,9
FP200000542BR_A5_18639,19
FP200000542BR_A5_18692,7
FP200000542BR_A5_18705,2
FP200000542BR_A5_18713,3
FP200000542BR_A5_18748,1
FP200000542BR_A5_18768,1
FP200000542BR_A5_18789,17
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,22
FP200000542BR_A5_19063,6
FP200000542BR_A5_19089,6
FP200000542BR_A5_19111,6
FP200000542BR_A5_19120,5
FP200000542BR_A5_19150,11
FP200000542BR_A5_19167,7
FP200000542BR_A5_19332,12
FP200000542BR_A5_19409,2
FP200000542BR_A5_19423,15
FP200000542BR_A5_19447,21
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,14
FP200000542BR_A5_19544,12
FP200000542BR_A5_19545,15
FP200000542BR_A5_19615,6
FP200000542BR_A5_19627,7
FP200000542BR_A5_19684,13
FP200000542BR_A5_19793,2
FP200000542BR_A5_19861,12
FP200000542BR_A5_19917,9
FP200000542BR_A5_19983,21
FP200000542BR_A5_20096,3
FP200000542BR_A5_20176,1
FP200000542BR_A5_20200,6
FP200000542BR_A5_20219,19
FP200000542BR_A5_20248,5
FP200000542BR_A5_20257,4
FP200000542BR_A5_20258,16
FP200000542BR_A5_20284,16
FP200000542BR_A5_20299,4
FP200000542BR_A5_20323,7
FP200000542BR_A5_20341,7
FP200000542BR_A5_20366,14
FP200000542BR_A5_20377,7
FP200000542BR_A5_20487,3
FP200000542BR_A5_20492,3
FP200000542BR_A5_20524,0
FP200000542BR_A5_20541,6
FP200000542BR_A5_20546,4
FP200000542BR_A5_20571,5
