cell_id,count
FP200000542BR_A5_14055,13
FP200000542BR_A5_14616,9
FP200000542BR_A5_14863,14
FP200000542BR_A5_14894,7
FP200000542BR_A5_15005,22
FP200000542BR_A5_15006,5
FP200000542BR_A5_15016,12
FP200000542BR_A5_16049,28
FP200000542BR_A5_16105,9
FP200000542BR_A5_16280,10
FP200000542BR_A5_16676,7
FP200000542BR_A5_16700,13
FP200000542BR_A5_16929,6
FP200000542BR_A5_17549,17
FP200000542BR_A5_17611,11
FP200000542BR_A5_17657,16
FP200000542BR_A5_17860,16
FP200000542BR_A5_17897,3
FP200000542BR_A5_17943,19
FP200000542BR_A5_18037,1
FP200000542BR_A5_18060,14
FP200000542BR_A5_18134,12
FP200000542BR_A5_18221,7
FP200000542BR_A5_18229,6
FP200000542BR_A5_18247,16
FP200000542BR_A5_18381,18
FP200000542BR_A5_18451,13
FP200000542BR_A5_18569,10
FP200000542BR_A5_18639,26
FP200000542BR_A5_18692,6
FP200000542BR_A5_18705,3
FP200000542BR_A5_18713,10
FP200000542BR_A5_18748,7
FP200000542BR_A5_18768,4
FP200000542BR_A5_18789,10
FP200000542BR_A5_18901,3
FP200000542BR_A5_19036,24
FP200000542BR_A5_19063,1
FP200000542BR_A5_19089,14
FP200000542BR_A5_19111,9
FP200000542BR_A5_19120,5
FP200000542BR_A5_19150,15
FP200000542BR_A5_19167,17
FP200000542BR_A5_19332,15
FP200000542BR_A5_19409,1
FP200000542BR_A5_19423,25
FP200000542BR_A5_19447,17
FP200000542BR_A5_19454,6
FP200000542BR_A5_19482,13
FP200000542BR_A5_19544,6
FP200000542BR_A5_19545,23
FP200000542BR_A5_19615,10
FP200000542BR_A5_19627,14
FP200000542BR_A5_19684,11
FP200000542BR_A5_19793,7
FP200000542BR_A5_19861,13
FP200000542BR_A5_19917,7
FP200000542BR_A5_19983,26
FP200000542BR_A5_20096,12
FP200000542BR_A5_20176,11
FP200000542BR_A5_20200,3
FP200000542BR_A5_20219,22
FP200000542BR_A5_20248,10
FP200000542BR_A5_20257,11
FP200000542BR_A5_20258,25
FP200000542BR_A5_20284,21
FP200000542BR_A5_20299,7
FP200000542BR_A5_20323,11
FP200000542BR_A5_20341,13
FP200000542BR_A5_20366,15
FP200000542BR_A5_20377,10
FP200000542BR_A5_20487,7
FP200000542BR_A5_20492,2
FP200000542BR_A5_20524,1
FP200000542BR_A5_20541,17
FP200000542BR_A5_20546,16
FP200000542BR_A5_20571,3
FP200000542BR_A5_20585,8
FP200000542BR_A5_20673,10
FP200000542BR_A5_20676,38
