gene,lfc,fdr
Cplx1,1.605244298759593,3.995872965891059e-181
Rab3c,0.9189451062342057,7.145098327784162e-75
Calb1,-0.8019231045948392,2.229022535161357e-72
Slc6a3,0.9376666062486985,5.4483091278961465e-70
Sncg,0.8848115491959089,5.266205962179039e-67
Nrip3,0.6161415377875541,3.206148142123815e-55
Fxyd6,-0.5009238839363961,1.96076718658429e-52
Ndnf,0.3381431816784535,1.7057437653551672e-44
Ahi1,-0.6107316877601474,3.642801554976481e-43
Calb2,-0.5905470011598792,1.1413293761696414e-42
Nnat,-0.5213105766179471,4.918653123188399e-40
Cck,-0.6144335077988832,4.916514367065623e-38
Sv2c,0.5054486645649705,3.4733390989351255e-35
Ldhb,0.5440890580919218,4.3900386211401655e-34
Lix1,0.3038535648287064,3.118671086881235e-33
Plcxd2,0.4297206480509827,3.8456430296729285e-31
Rps27,-0.42081948672698566,3.4788242533507685e-30
Tagln3,0.5426894695734146,1.2243410798145538e-29
Rps19,-0.4174571523122099,5.805812760912348e-27
Slc18a2,0.5246369024005295,5.982120072341373e-27
Hpcal1,-0.2824375516038834,7.40345990545185e-27
Msi2,0.41785967773594823,1.2080002732588127e-26
Rps24,-0.4093756466325482,1.830231301405083e-26
Col25a1,0.29012976333862844,4.6285755813058965e-26
Rpl21,-0.3944673881511034,3.379676516103068e-24
Mdh1,0.40373010528695397,1.7262299066386387e-23
Snap25,0.3664749601373254,1.325752220948076e-22
Vsnl1,0.43895460000736486,3.478649203901354e-21
Sncb,0.38910230595890205,3.328704734970616e-20
Ly6h,-0.45007496426828897,3.502732743383198e-20
Kcnj6,0.29370876222417164,6.499007700881865e-20
Eef1a1,-0.33621636874752214,9.423388501417932e-20
Nap1l5,-0.39430281769132125,6.460174837559557e-19
Lmo3,0.26782632745612467,1.0934836587004465e-18
Rpl9,-0.3572521158174222,1.3428341330376454e-18
Rab6b,0.39679628469175476,2.726021964294383e-18
Hap1,-0.2638932220089505,3.79948417159018e-18
Rap1gds1,0.37350729983541864,3.79948417159018e-18
Mif,0.3750189093004548,4.227655172400867e-18
Chchd10,0.37373404607529737,5.0330327521709675e-18
Cadm2,0.48557147988596383,6.8714443329699655e-18
Ddah1,-0.3508825670015473,9.261109885232607e-18
Rpl9-ps6,-0.3464706965160731,1.6136454961463836e-17
Ppm1e,-0.23993830137616223,3.058468234512504e-17
Bc1,-0.24548390859093638,4.4961213678701277e-17
Scg2,-0.40052299159530647,4.633940213425565e-17
Rcan2,0.3137210049766313,1.1797506109887114e-16
Amotl1,-0.26971927843089094,1.5902185696485222e-16
Ddc,0.35785535209944963,2.5317965320492686e-16
Resp18,-0.38669313761976387,2.708547562869662e-16
Caln1,0.2726946101428682,5.875390746604662e-16
Rpl37,-0.2951228929351073,9.382633301945731e-16
Nwd2,0.2191909803287156,2.934716156811952e-15
Rps12,-0.3281299464177134,3.4257864163373802e-15
Rplp1,-0.2667346462654807,4.6807485203549255e-15
Ret,0.36558957955594995,1.1496682772444403e-14
Ndrg4,0.3526561689160155,1.2511793925122003e-14
Gm37459,0.19442843595380482,1.3245317858486907e-14
Rpl41,-0.258701855368225,3.062110396093317e-14
Rps8,-0.2825831607937035,3.062110396093317e-14
Rpl17,-0.2992769181551971,4.879994996710222e-14
Kcnab1,-0.18728828036553596,1.2077414055017213e-13
Pou3f2,0.15060010808233146,2.0998259660707884e-13
Serpine2,0.26747032007975763,2.339543735392765e-13
Slc25a5,0.2818514008317015,6.51721627219047e-13
Kcnd3,0.275155359630642,8.471427340747175e-13
Grp,-0.17995124978474575,9.533988268511792e-13
Uchl1,0.2549907212034208,1.245977085884687e-12
Gpr158,0.2700740588765963,1.5203356780814704e-12
Dlk1,0.34452203888444144,2.0631789440046804e-12
Rps27a,-0.27635000121942066,2.0631789440046804e-12
Cplx2,0.27578797956871365,2.5159361172544064e-12
Rpl30,-0.29890031634319425,3.106244808849115e-12
Rgs6,0.221473204225294,4.930597503825952e-12
Lbh,0.18922527425342334,5.331930027809943e-12
Plp1,-0.3811079756400533,5.331930027809943e-12
Rps21,-0.2525689497500401,6.008248561160378e-12
Hps5,-0.20996921562883797,6.0984646304025525e-12
Gaa,-0.3207392334783431,6.6164247413469635e-12
Rpl24,-0.3125136032579461,8.21013983768057e-12
Syt1,0.35455121990220073,8.536177847782299e-12
Cend1,0.3115281261742947,1.1765306691109389e-11
Drd2,0.22609606486211448,1.191113120460437e-11
Rps5,-0.3431660826238079,1.3334936366676774e-11
2010107E04Rik,0.29827850545096757,1.8331063524832094e-11
Apba1,0.2546529918515031,2.6661429956152516e-11
Malat1,0.4249748208373543,3.714517866877722e-11
Tecpr2,-0.26926059115135803,4.794810883660712e-11
Atp8a1,-0.17248166185608457,5.220388167534121e-11
Necab1,-0.167847218323498,7.457387005163697e-11
Gm26510,-0.25460816554117405,1.1231841564764022e-10
Fam204a,0.12444426998420421,1.3872614894013915e-10
Nme7,0.2548155957520686,1.447197014019047e-10
Sdc2,-0.22227298433003806,1.7015502705131688e-10
Tppp3,-0.2618964639197937,1.8062181083268086e-10
Pbx3,0.2425486302482952,1.8671833234411432e-10
Chrna4,0.19333158513242124,1.960806678546605e-10
AC165271.1,0.13928080572299062,2.0169368647812738e-10
Pnmal2,-0.2803841163917744,2.031107845135127e-10
Rps3,-0.285049379317444,2.1041949534862089e-10
Gm10073,-0.2794805995646681,2.1783250642745915e-10
Rps11,-0.30633124294429726,2.2371107395246292e-10
Slc10a4,0.3017474537446574,2.3804842956156404e-10
Rpl8,-0.28268608091108893,3.042329619615048e-10
Mbp,-0.273586712282216,3.6494342599733083e-10
Rps27rt,-0.255366384297239,4.472693455373296e-10
Zcchc12,-0.2915456190178728,5.025024546714467e-10
Foxp2,-0.18421255068026698,5.437915195078744e-10
Satb1,0.17763597872542078,6.57718375391067e-10
Rps10,-0.28411983915436845,7.516932167344734e-10
Caly,-0.26722442844020444,8.022441342921697e-10
Gm20388,-0.2597483975405399,1.6747289963357555e-9
Rps23,-0.2694418098734561,1.6747289963357555e-9
Atp5g1,0.29751132886319676,2.4012671898171315e-9
Rpl22l1,-0.2855799706230844,2.4580654068701727e-9
Rpl13a,-0.21807992293289935,2.7256694237413603e-9
Rps26,-0.26598109356006217,2.9130129058272464e-9
Cox7b,0.26920661718678707,3.095298963462658e-9
Fth1,-0.20469996239940258,3.231893412146692e-9
Rps4x,-0.2897821737957078,4.0931216409747925e-9
Pcsk1n,-0.2352472273393582,4.526411507321852e-9
Rpl32,-0.24117711203284897,5.074753859569002e-9
Pex5l,0.18262112368000202,5.515345757667075e-9
A730017C20Rik,-0.1881774995164524,5.607758301489089e-9
Rbms3,0.2263647059468133,5.607758301489089e-9
Gm45837,0.1538940341898878,6.618821804258051e-9
Rpl26,-0.2487389348162823,7.5406503255275e-9
Pitpna,0.24768833550286495,7.56717482242325e-9
Atp5g3,0.27882428129226056,8.384588578288252e-9
Adgrd1,-0.25728933935781917,8.765001293847947e-9
Tcp11l1,0.12764362493768805,9.613982572554005e-9
Fau,-0.2406844410183866,1.0394782218609972e-8
Epha4,0.13448904119398192,1.2488770760411903e-8
Cntn4,0.13098069707549873,1.25256962812919e-8
Rpl10,-0.244267507353497,1.4305627958246793e-8
Clstn2,0.24110457649291195,1.661379390832947e-8
Gpr26,0.114123127882192,1.7687569924900565e-8
Ptpn5,0.18738822201419864,1.8627961817195842e-8
Apoe,-0.24387321070619006,2.0290764301049737e-8
Lmo4,0.20565337906349362,2.2411063589528693e-8
Atp1b1,0.26932275383735904,2.460921691758533e-8
Bex1,-0.28613804937476106,2.7047628626718446e-8
Ncald,-0.1995408489003111,2.7047628626718446e-8
Rtn3,0.2574673569544603,2.7047628626718446e-8
Sst,-0.17242084291116788,2.8872145703085288e-8
Rps20,-0.23544549054976271,2.9950443425318515e-8
Ndufa11,0.28073193507284566,3.0442585284017685e-8
Plcb4,0.2046943233487859,3.6525515732828176e-8
Stmn4,-0.1987761538336178,3.7012815736781034e-8
Thy1,0.21007691780681337,3.815295996492575e-8
Fstl5,-0.1265808402312411,3.9552847625670665e-8
Gm10076,-0.24956067931888082,4.351821408216086e-8
Zdhhc2,0.15286172253604685,5.474116238934181e-8
Fam210b,0.15492088628120484,6.535238218716195e-8
Vdac1,0.251124297371649,6.693031284249548e-8
Rpl36a,-0.26175579967060636,7.216768545176383e-8
Rpl27a,-0.2504330414527758,9.841601817239775e-8
Rps3a1,-0.26604095339299527,1.0573755250738472e-7
Rpl3,-0.23728623062578436,1.12144038634654e-7
Trpm4,-0.246154395164077,1.12144038634654e-7
Rps16,-0.23944503264684713,1.122495544033666e-7
Rps14,-0.2023244780692317,1.1237130515307888e-7
4930481A15Rik,0.23464934946451121,1.1473782035214622e-7
Nrsn2,-0.20771312484682974,1.2669504681699215e-7
Acot7,0.26342779597882204,1.3778275823136735e-7
Trf,-0.18180353235744412,1.3857669893944935e-7
Vamp2,0.232076113394467,1.5984632532959476e-7
Rpl23,-0.23070782315715843,1.663667395809508e-7
Rpl13,-0.24038645108244672,1.744187646732764e-7
Rps7,-0.2561037995274915,1.7960796537627608e-7
Ehbp1,-0.14959746636160462,2.497878099642053e-7
Nos1ap,0.22074902499888505,2.500571971763839e-7
Pdss2,-0.23790190589184257,2.500571971763839e-7
Spint2,-0.11140893166907759,2.500571971763839e-7
Mobp,-0.2549351658865723,2.6316258739334134e-7
Cox7a2,0.22588799287462002,3.59777239481835e-7
Gadl1,-0.23117060360362895,4.320636751756931e-7
Rpl14,-0.2380942651156539,4.320636751756931e-7
Ptma,-0.19873801111251033,4.5194720114777737e-7
Rps29,-0.19561948618977332,5.464812333021697e-7
Tmsb4x,-0.18690323729421765,6.48809396087101e-7
Uqcr10,0.24093977578369064,6.757743228965783e-7
Mapk9,0.17907743725013275,7.421214931649079e-7
Uqcrq,0.23770298118377275,9.24320999153457e-7
1700007G11Rik,-0.181599844055654,9.7025072309336e-7
Pglyrp3,0.1816869754984483,9.721787157869944e-7
Fgf1,0.09803271509763685,1.0804700592939907e-6
Rps28,-0.2025158321821161,1.0840777701487398e-6
Napb,0.22397312404475345,1.0862867609444446e-6
Naca,-0.2384605705707299,1.0911623139022843e-6
Rps6,-0.22692104050343231,1.1125718594955283e-6
Cdh8,0.15551906906055987,1.138298193488369e-6
Vwc2l,0.11820247092739936,1.154620909482131e-6
Mesd,-0.11082608121812447,1.1928271132431986e-6
Serpini1,-0.17638602424709665,1.4089140651824535e-6
Aldh1a1,0.3513578775371864,1.6033288098824698e-6
Atp5b,0.23163979410580304,1.7515151655794946e-6
Rps9,-0.23647043894668895,2.0185818935556904e-6
Rpl31,-0.19264853513171265,2.182631351832029e-6
Trpm3,-0.18222103229007575,2.182631351832029e-6
Ipcef1,-0.17349378508739244,2.2027579745611578e-6
Sgcz,0.18725311299424263,2.5734262909989115e-6
Cadps,0.17253285677577046,3.1791645032805895e-6
Bsn,0.15863800243832843,3.390189304985329e-6
Etv5,0.11396313055762661,3.390189304985329e-6
Tlcd1,-0.22180629025722487,3.47543540785411e-6
A2ml1,0.11255932919505494,3.969199615897822e-6
Rps15a,-0.23952883503359113,4.1168176502665015e-6
Rpl11,-0.22115495001409058,4.201476626573653e-6
Marcksl1,-0.10128322511084056,4.468200927274429e-6
Cadm1,-0.17005274167257034,4.526860245719032e-6
Cpne6,0.14926282877682223,4.701511045958226e-6
Gfra1,-0.10801855633751584,4.949846901945508e-6
Brinp1,0.11482851347881365,5.553233429963195e-6
Gm1673,-0.2116771904710355,5.621274958103866e-6
Rpl39,-0.19045237428264794,5.621274958103866e-6
Rpl19,-0.21676952236590274,5.823306625273787e-6
Rab3a,0.21761493070517246,6.737244671055979e-6
Hspa8,0.15673979647977632,6.936109586095467e-6
Nme1,0.24407012613327939,7.371689741527339e-6
Atp2a2,0.19195828068399617,7.440504032475873e-6
Map1lc3a,0.23361435045979362,8.123232436084523e-6
Lsamp,-0.3073599394862152,8.706943249777823e-6
Pnck,-0.13867900414371476,9.152259872596888e-6
Rpl10a,-0.16960318469971375,1.0269358109617407e-5
2600014E21Rik,-0.18444045315897029,1.0409423389111864e-5
Rpsa,-0.2134365200601951,1.0768830999080301e-5
Cox7c,0.1492295827474157,1.1464513456626343e-5
Rgs7bp,0.11720850687164258,1.419674881526996e-5
Myl6,0.22550338611580334,1.5854628531815222e-5
Dynlt3,0.1542436421632139,1.5911879901736343e-5
Lnpep,0.12067810056485018,1.64060680942947e-5
